,school_id,latitude,longitude,type
0,29179580,-12.9644941,-38.4722771,"['establishment', 'point_of_interest', 'school']"
2,35034344,-23.1820253,-49.3810772,"['establishment', 'point_of_interest', 'school']"
3,33022275,-22.2825063,-42.5315799,"['establishment', 'point_of_interest', 'school']"
4,33105065,-22.973682,-43.335695,"['establishment', 'point_of_interest', 'school']"
6,13027930,-3.1277069,-60.006553,"['establishment', 'point_of_interest', 'school']"
8,25072692,-7.230541199999999,-35.8731186,"['establishment', 'point_of_interest', 'school']"
9,35070002,-20.5582652,-47.3705193,"['establishment', 'point_of_interest', 'school']"
10,27003221,-9.3858328,-38.0005264,"['establishment', 'point_of_interest', 'school']"
11,26115999,-7.946308999999999,-34.82859699999999,"['establishment', 'point_of_interest', 'school']"
12,28033604,-10.8448995,-37.0686911,"['establishment', 'point_of_interest', 'school']"
14,29454883,-17.3406394,-39.2182408,"['establishment', 'point_of_interest', 'school']"
15,15043630,-1.3747034,-48.3290023,"['establishment', 'point_of_interest', 'school']"
16,27016030,-9.7445732,-36.662498,"['establishment', 'point_of_interest', 'school']"
17,35024934,-21.6044987,-48.3666337,"['establishment', 'point_of_interest', 'school']"
18,42021448,-26.337006,-48.8444897,"['establishment', 'point_of_interest', 'school']"
20,26110105,-8.1122462,-35.0147476,"['establishment', 'point_of_interest', 'school']"
22,52061612,-17.253515,-49.24529099999999,"['establishment', 'point_of_interest', 'school']"
23,33348200,-22.8418581,-43.29928659999999,"['establishment', 'point_of_interest', 'school']"
24,35806286,-23.548437,-46.408099,"['establishment', 'point_of_interest', 'school']"
25,33447250,-22.5200434,-44.1089487,"['establishment', 'point_of_interest', 'school']"
26,52054381,-17.785241,-50.92534999999999,"['establishment', 'point_of_interest', 'school']"
28,21137005,-8.006250399999999,-34.8715918,"['establishment', 'point_of_interest', 'school']"
29,26074079,-8.742763499999999,-36.3386291,"['establishment', 'point_of_interest', 'school']"
31,31102482,-3.7279868,-38.5226677,"['establishment', 'point_of_interest', 'school', 'secondary_school']"
32,33306206,-19.9486603,-43.9485614,"['establishment', 'point_of_interest', 'university']"
33,31190756,-19.8430804,-43.920978,"['establishment', 'point_of_interest', 'school', 'secondary_school']"
34,27035573,-9.662456599999999,-35.7612575,"['establishment', 'point_of_interest', 'school']"
35,25030540,-24.3165791,-47.0036633,"['establishment', 'point_of_interest', 'school']"
36,33001294,-21.2136843,-41.8867742,"['establishment', 'point_of_interest', 'school']"
