,school_year,state,municipality,school_id,school_name,passing
67619,2015,Rondonia,Porto Velho,11000058,CENTRO DE ENSINO CLASSE A,96.1
67628,2015,Rondonia,Porto Velho,11000171,CENTRO EDUCACIONAL MOJUCA,94.6
67640,2015,Rondonia,Porto Velho,11000198,CENTRO EDUCACIONAL OBJETIVO,90.1
67642,2015,Rondonia,Porto Velho,11000244,COLEGIO DOM BOSCO,88.7
67648,2015,Rondonia,Porto Velho,11000252,CENTRO EDUCACIONAL OBJETIVO - UNIDADE JARDIM AMERICA,84.5
67660,2015,Rondonia,Porto Velho,11000260,COLEGIO TIRADENTES DA POLICIA MILITAR DO ESTADO DE RONDONIA EEEFM TIRADENTES,89.2
67662,2015,Rondonia,Porto Velho,11000317,EEEFM JOSE OTINO DE FREITAS,73.9
67673,2015,Rondonia,Porto Velho,11000350,COLEGIO ADVENTISTA DE PORTO VELHO,88.7
67677,2015,Rondonia,Porto Velho,11000384,EEEFM 4 DE JANEIRO,54.9
67682,2015,Rondonia,Porto Velho,11000457,EEEFM PROFESSORA ANTONIA VIEIRA FROTA,75.5
67687,2015,Rondonia,Porto Velho,11000597,EEEFM BELA VISTA,64.9
67691,2015,Rondonia,Porto Velho,11000678,EEEFM BRASILIA,81.6
67698,2015,Rondonia,Porto Velho,11000708,EEEFM CAP CLAUDIO MANOEL DA COSTA,70.8
67704,2015,Rondonia,Porto Velho,11000856,EEEFM PROFESSOR DANIEL NERI DA SILVA,78.7
67707,2015,Rondonia,Porto Velho,11000880,CENTRO EDUCACIONAL DR GILBERTO MENDES DE AZEVEDO,92.0
67714,2015,Rondonia,Porto Velho,11000937,EEEFM DR OSVALDO PIANA,79.3
67720,2015,Rondonia,Porto Velho,11001046,EEEFM ESTUDO E TRABALHO,61.8
67725,2015,Rondonia,Porto Velho,11001119,EEEFM GOV ARAUJO LIMA,73.7
67729,2015,Rondonia,Porto Velho,11001135,EEEFM GOV PETRONIO BARCELOS,72.3
67734,2015,Rondonia,Porto Velho,11001283,EEEFM JOHN KENNEDY,59.9
67741,2015,Rondonia,Porto Velho,11001305,EEEFM JORGE TEIXEIRA DE OLIVEIRA,55.2
67746,2015,Rondonia,Porto Velho,11001640,EEEFM MURILO BRAGA,85.4
67750,2015,Rondonia,Porto Velho,11002018,EEEFM PROF FLORA CALHEIROS COTRIN,62.9
67759,2015,Rondonia,Porto Velho,11002123,EEEFM RISOLETA NEVES,58.5
67761,2015,Rondonia,Porto Velho,11002255,E E E F M SAO LUIZ,49.4
67766,2015,Rondonia,Porto Velho,11002468,EEEFM BARAO DO SOLIMOES,82.8
67776,2015,Rondonia,Porto Velho,11002484,EEEM MAJOR GUAPINDAIA,74.4
67782,2015,Rondonia,Porto Velho,11002506,EEEFM MARECHAL CASTELO BRANCO,55.6
67789,2015,Rondonia,Porto Velho,11002514,EEEFM PROF ORLANDO FREIRE,66.1
67792,2015,Rondonia,Porto Velho,11002522,EEEFM PROF EDUARDO LIMA E SILVA,63.6
67799,2015,Rondonia,Porto Velho,11002549,EEEFM RIO BRANCO,39.5
67805,2015,Rondonia,Porto Velho,11003065,IEE CARMELA DUTRA,86.4
67810,2015,Rondonia,Porto Velho,11003081,INSTITUTO LAURA VICUNA,92.6
