school_id,NAME,DIVISIONID,DIVISION,Cluster,filipino_mean_rs,filipino_sd_rs,filipino_mds,math_mean_rs,math_sd_rs,math_mds,english_mean_rs,english_sd_rs,english_mds,science_mean_rs,science_sd_rs,science_mds,araling_mean_rs,araling_sd_rs,araling_mds,overall_mean_rs,overall_sd_rs,overall_mds
107022,Abelardo G. Tinio ES,Angeles City,III,3,26.13,7.09,65.32,19.81,11.20,49.54,20.86,9.86,52.16,17.48,6.93,43.71,21.01,8.81,52.52,105.30,38.81,52.65
107023,Angeles ES,Angeles City,III,1,30.70,5.16,76.75,26.91,9.27,67.29,27.40,7.63,68.49,25.97,8.44,64.92,26.07,7.45,65.17,137.05,34.78,68.53
107024,Belen Homesite ES,Angeles City,III,5,29.72,3.44,74.31,30.39,4.05,75.97,27.94,2.60,69.86,25.28,3.04,63.19,29.06,3.10,72.64,142.39,11.31,71.19
107025,Cutud ES,Angeles City,III,3,32.75,3.19,81.88,34.70,7.22,86.74,35.41,6.22,88.53,27.44,4.09,68.60,35.73,5.85,89.32,166.03,24.09,83.02
107026,Don Ambrosio Mendiola ES,Angeles City,III,5,34.03,2.35,85.08,28.53,2.59,71.33,32.66,3.30,81.64,30.38,2.28,75.94,27.22,1.07,68.05,152.81,7.30,76.41
107027,Dr. Clemente N. Dayrit Sr. ES,Angeles City,III,2,29.28,5.08,73.19,28.45,6.79,71.12,28.11,7.04,70.27,17.56,3.43,43.90,29.12,6.66,72.80,132.51,23.17,66.26
107028,Enrica Sandico ES,Angeles City,III,4,32.76,2.80,81.91,37.10,4.96,92.74,36.21,3.45,90.52,33.64,2.47,84.10,32.54,3.37,81.35,172.25,13.16,86.13
107029,EPZA Resettlement ES,Angeles City,III,2,25.86,3.81,64.65,32.28,3.72,80.69,27.84,3.96,69.60,24.41,3.72,61.01,23.54,3.90,58.86,133.93,13.25,66.96
107030,Mining ES,Angeles City,III,5,35.13,2.34,87.83,35.00,2.34,87.50,32.96,2.93,82.39,30.65,4.00,76.63,30.87,3.17,77.17,164.61,10.33,82.30
107031,Pandan ES,Angeles City,III,3,30.62,3.40,76.55,31.85,4.47,79.62,34.34,4.35,85.85,27.51,3.09,68.79,33.37,4.08,83.44,157.70,16.57,78.85
107032,Pineda Gutierrez ES,Angeles City,III,4,26.72,5.80,66.80,16.60,5.98,41.49,16.89,5.94,42.22,16.55,4.96,41.37,16.39,5.31,40.98,93.14,22.29,46.57
